battery_id,order_id,battery_name_id,quantity,order_date,order_time,unit_price,total_price,battery_size,battery_category,battery_specifications,battery_name
66,17688,generic_lithium_ion_pack_id,1,10-04-2024,11:32:56,58059.49,58059.49,L,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
67,13773,intelligent_power_pack_id,1,11-02-2024,21:03:19,44813.75,44813.75,L,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
68,1434,quick_swap_power_pack_id,1,10-07-2024,19:43:40,41441.7,41441.7,S,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
69,4011,universal_battery_pack_id,1,22-07-2024,13:12:55,39679.69,39679.69,L,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
70,3995,quick_swap_power_pack_id,1,08-09-2024,20:47:41,29928.89,29928.89,L,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
71,20458,universal_battery_pack_id,1,27-10-2024,12:14:44,47510.29,47510.29,S,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
72,18430,universal_battery_pack_id,1,16-05-2024,18:10:37,62003.28,62003.28,S,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
73,19329,generic_lithium_ion_pack_id,2,13-04-2024,15:19:21,59780.71,119561.41,M,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
74,13277,intelligent_power_pack_id,1,06-02-2024,21:38:57,31196.06,31196.06,L,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
75,2372,generic_lithium_ion_pack_id,1,19-12-2024,14:04:34,55666.35,55666.35,M,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
76,3418,generic_lithium_ion_pack_id,1,19-02-2024,13:07:39,33104.57,33104.57,S,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
77,9815,high_capacity_li_ion_id,1,04-03-2024,22:33:46,106898.53,106898.53,L,"60V, 100Ah Lithium-Ion Battery","60V, 100Ah, e-rickshaw compatible",High-Capacity Li-Ion
78,17420,intelligent_power_pack_id,1,20-06-2024,16:39:18,40855.58,40855.58,S,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
79,17760,generic_lithium_ion_pack_id,1,15-03-2024,12:52:51,58830.25,58830.25,M,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
80,18683,generic_lithium_ion_pack_id,1,01-06-2024,11:55:29,45114.79,45114.79,S,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
81,6360,intelligent_power_pack_id,1,23-09-2024,17:22:07,27885.67,27885.67,M,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
82,12002,generic_lithium_ion_pack_id,1,22-10-2024,11:39:13,43736.47,43736.47,L,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
83,19740,quick_swap_power_pack_id,1,17-01-2024,12:22:37,32435.11,32435.11,M,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
84,16709,quick_swap_power_pack_id,1,26-04-2024,20:40:33,29713.78,29713.78,M,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
85,7110,intelligent_power_pack_id,1,18-08-2024,11:57:16,47212.86,47212.86,S,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
86,10215,generic_lithium_ion_pack_id,1,13-12-2024,20:28:01,36082.76,36082.76,L,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
87,9207,intelligent_power_pack_id,1,04-05-2024,12:09:28,41623.62,41623.62,L,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
88,4932,generic_lithium_ion_pack_id,1,22-04-2024,20:20:11,51691.95,51691.95,L,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
89,16121,high_capacity_li_ion_id,1,18-08-2024,12:38:49,84030.82,84030.82,S,"60V, 100Ah Lithium-Ion Battery","60V, 100Ah, e-rickshaw compatible",High-Capacity Li-Ion
90,10399,intelligent_power_pack_id,1,02-10-2024,13:04:49,33977.12,33977.12,L,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
91,14590,intelligent_power_pack_id,1,23-05-2024,13:24:56,34611.07,34611.07,S,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
92,20405,high_capacity_li_ion_id,1,13-10-2024,13:10:36,64338.62,64338.62,S,"60V, 100Ah Lithium-Ion Battery","60V, 100Ah, e-rickshaw compatible",High-Capacity Li-Ion
93,781,quick_swap_power_pack_id,1,24-01-2024,20:31:17,38738.35,38738.35,L,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
94,19103,quick_swap_power_pack_id,1,02-11-2024,17:34:05,46260.58,46260.58,S,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
95,14663,generic_lithium_ion_pack_id,1,22-11-2024,17:07:37,37270.12,37270.12,L,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
96,13082,generic_lithium_ion_pack_id,1,23-01-2024,19:02:31,62318.95,62318.95,S,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
97,8549,quick_swap_power_pack_id,1,06-01-2024,19:00:38,37817.28,37817.28,XL,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
98,564,universal_battery_pack_id,1,31-10-2024,22:32:32,46585.83,46585.83,M,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
99,9073,quick_swap_power_pack_id,1,14-04-2024,17:52:02,27814.04,27814.04,M,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
100,8682,generic_lithium_ion_pack_id,1,20-07-2024,20:47:52,51475.4,51475.4,S,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
101,18157,universal_battery_pack_id,1,18-10-2024,12:27:27,63743.89,63743.89,M,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
102,14778,intelligent_power_pack_id,1,03-10-2024,17:50:21,41905.53,41905.53,S,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
103,1398,high_capacity_li_ion_id,1,24-11-2024,14:04:36,119973.11,119973.11,L,"60V, 100Ah Lithium-Ion Battery","60V, 100Ah, e-rickshaw compatible",High-Capacity Li-Ion
104,5885,generic_lithium_ion_pack_id,1,01-10-2024,16:26:34,50929.59,50929.59,S,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
105,3201,intelligent_power_pack_id,1,18-05-2024,17:21:33,30647.03,30647.03,L,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
106,20552,universal_battery_pack_id,1,05-07-2024,19:00:36,53028.47,53028.47,S,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
107,8133,quick_swap_power_pack_id,1,13-08-2024,17:04:23,36217.35,36217.35,M,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
108,17940,quick_swap_power_pack_id,1,06-05-2024,12:06:05,49938.49,49938.49,L,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
109,2176,intelligent_power_pack_id,1,16-03-2024,11:18:53,48376.21,48376.21,L,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
110,19857,quick_swap_power_pack_id,1,15-02-2024,12:55:08,38982.55,38982.55,L,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
111,12986,quick_swap_power_pack_id,1,13-04-2024,13:14:50,36399.04,36399.04,S,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
112,17940,generic_lithium_ion_pack_id,1,29-05-2024,12:06:05,36232.15,36232.15,S,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
113,290,quick_swap_power_pack_id,1,28-06-2024,17:41:16,27534.67,27534.67,M,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
114,545,intelligent_power_pack_id,1,10-11-2024,18:46:28,41961.63,41961.63,L,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
115,4209,generic_lithium_ion_pack_id,1,21-10-2024,17:06:27,58946.77,58946.77,L,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
116,7159,generic_lithium_ion_pack_id,1,03-12-2024,19:01:44,68917.69,68917.69,S,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
117,12459,intelligent_power_pack_id,1,31-10-2024,16:03:10,45147.1,45147.1,S,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
118,7047,intelligent_power_pack_id,1,31-07-2024,19:06:49,25924.82,25924.82,L,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
119,19508,intelligent_power_pack_id,1,08-02-2024,21:58:21,33070.13,33070.13,S,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
120,4077,universal_battery_pack_id,1,18-04-2024,13:55:11,65902.31,65902.31,L,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
121,11425,intelligent_power_pack_id,1,03-03-2024,15:05:32,32894.72,32894.72,L,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
122,11007,generic_lithium_ion_pack_id,1,20-11-2024,21:33:35,66601.33,66601.33,L,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
123,3125,universal_battery_pack_id,1,06-10-2024,20:12:37,37010.58,37010.58,L,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
124,4273,generic_lithium_ion_pack_id,1,03-08-2024,19:13:52,41440.61,41440.61,L,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
125,17807,generic_lithium_ion_pack_id,1,26-07-2024,22:22:29,52239.65,52239.65,S,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
126,9331,generic_lithium_ion_pack_id,1,18-12-2024,12:40:05,30729.54,30729.54,M,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
127,259,high_capacity_li_ion_id,1,28-11-2024,12:04:25,73287.94,73287.94,L,"60V, 100Ah Lithium-Ion Battery","60V, 100Ah, e-rickshaw compatible",High-Capacity Li-Ion
128,20947,generic_lithium_ion_pack_id,1,21-01-2024,12:35:13,60905.79,60905.79,S,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
129,4413,universal_battery_pack_id,1,18-07-2024,12:23:40,35734.45,35734.45,M,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
130,1939,high_capacity_li_ion_id,1,23-12-2024,12:29:44,105880.77,105880.77,S,"60V, 100Ah Lithium-Ion Battery","60V, 100Ah, e-rickshaw compatible",High-Capacity Li-Ion
131,9525,quick_swap_power_pack_id,1,02-04-2024,14:03:08,31198.78,31198.78,L,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
132,5629,generic_lithium_ion_pack_id,1,03-02-2024,22:49:14,62069.9,62069.9,M,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
133,14057,quick_swap_power_pack_id,1,25-08-2024,19:18:14,31705.32,31705.32,M,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
134,4962,generic_lithium_ion_pack_id,1,15-07-2024,14:34:44,62466.07,62466.07,XL,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
135,578,generic_lithium_ion_pack_id,1,31-03-2024,13:48:49,51172.36,51172.36,XL,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
136,9887,high_capacity_li_ion_id,1,12-08-2024,14:58:28,89609.83,89609.83,L,"60V, 100Ah Lithium-Ion Battery","60V, 100Ah, e-rickshaw compatible",High-Capacity Li-Ion
137,16445,generic_lithium_ion_pack_id,1,14-01-2024,13:04:13,53502.09,53502.09,L,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
138,13242,generic_lithium_ion_pack_id,1,15-12-2024,15:31:14,51197.61,51197.61,M,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
139,18253,intelligent_power_pack_id,1,28-02-2024,17:47:14,25631.78,25631.78,S,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
140,2643,intelligent_power_pack_id,1,01-10-2024,20:08:34,31541.41,31541.41,L,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
141,16363,generic_lithium_ion_pack_id,1,18-06-2024,19:39:43,68808.39,68808.39,L,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
142,18992,universal_battery_pack_id,1,01-06-2024,18:09:24,60549.35,60549.35,S,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
143,5707,quick_swap_power_pack_id,1,21-08-2024,15:20:28,49821.76,49821.76,M,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
144,10731,intelligent_power_pack_id,1,18-05-2024,18:44:12,33225.61,33225.61,L,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
145,6815,intelligent_power_pack_id,1,01-06-2024,22:10:20,38526.04,38526.04,L,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
146,20788,universal_battery_pack_id,1,21-11-2024,15:56:02,44060.35,44060.35,L,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
147,17584,intelligent_power_pack_id,1,29-11-2024,15:28:16,41134.59,41134.59,M,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
148,7358,generic_lithium_ion_pack_id,1,26-07-2024,20:55:29,51249.41,51249.41,M,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
149,8024,generic_lithium_ion_pack_id,1,16-04-2024,12:36:47,61195.96,61195.96,L,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
150,7141,universal_battery_pack_id,1,04-07-2024,17:06:02,33731.6,33731.6,L,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
151,17889,universal_battery_pack_id,1,28-02-2024,13:38:56,49494.58,49494.58,S,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
152,17887,universal_battery_pack_id,1,27-04-2024,13:09:02,69254.76,69254.76,M,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
153,17814,generic_lithium_ion_pack_id,2,28-11-2024,13:08:25,47467.15,94934.29,S,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
154,9643,quick_swap_power_pack_id,1,20-12-2024,13:40:06,43119.69,43119.69,M,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
155,6563,quick_swap_power_pack_id,1,29-03-2024,20:02:47,25137.59,25137.59,L,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
156,9162,intelligent_power_pack_id,1,03-07-2024,12:43:17,49504.46,49504.46,L,Smart Batteries,"Integrated BMS, real-time monitoring",Intelligent Power Pack
157,12312,quick_swap_power_pack_id,1,14-06-2024,21:03:15,38947.51,38947.51,L,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
158,18785,universal_battery_pack_id,1,01-07-2024,21:12:08,51933.84,51933.84,S,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
159,19236,universal_battery_pack_id,1,31-07-2024,12:19:40,66898.63,66898.63,S,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
160,10328,universal_battery_pack_id,1,14-02-2024,22:29:15,40877.33,40877.33,L,Standardized Batteries,"Standardized form factor, interoperable",Universal Battery Pack
161,5717,high_capacity_li_ion_id,1,11-04-2024,17:36:25,100721.39,100721.39,L,"60V, 100Ah Lithium-Ion Battery","60V, 100Ah, e-rickshaw compatible",High-Capacity Li-Ion
162,12538,high_capacity_li_ion_id,1,24-05-2024,18:50:09,99336.16,99336.16,L,"60V, 100Ah Lithium-Ion Battery","60V, 100Ah, e-rickshaw compatible",High-Capacity Li-Ion
163,6451,generic_lithium_ion_pack_id,1,03-05-2024,22:38:12,52661.55,52661.55,L,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
164,6793,quick_swap_power_pack_id,1,26-12-2024,18:01:40,29853.09,29853.09,S,Swappable Batteries,"Lightweight, quick-release mechanism",Quick Swap Power Pack
165,20108,generic_lithium_ion_pack_id,1,01-04-2024,13:33:45,37027.45,37027.45,S,Lithium-Ion Batteries,"High energy density, long cycle life",Generic Lithium-Ion Pack
